What is the name of the main protagonist of Jujutsu Kaisen?,Yuji Itadori,Megumi Fushiguro,Nobara Kugisaki,Satoru Gojo,0,Jujutsu Kaisen
Who is the strongest jujutsu sorcerer in the modern era?,Sukuna,Kento Nanami,Satoru Gojo,Toji Fushiguro,2,Jujutsu Kaisen
What cursed object did Yuji Itadori eat to become a vessel?,Cursed Ring,Cursed Womb,Sukuna's Finger,Mahoraga's Wheel,2,Jujutsu Kaisen
What is Sukuna's domain expansion called?,Malevolent Shrine,Unlimited Void,Chimera Shadow Garden,Self-Embodiment of Perfection,0,Jujutsu Kaisen
What is Satoru Gojo's domain expansion called?,Malevolent Shrine,Unlimited Void,Deadly Sentencing,Idle Death Gamble,1,Jujutsu Kaisen
Which grade is Yuji classified as at the start of the series?,Grade 1,Grade 2,Grade 3,Grade 4,3,Jujutsu Kaisen
What is Megumi Fushiguro's innate technique?,Limitless,Ten Shadows Technique,Blood Manipulation,Cursed Speech,1,Jujutsu Kaisen
Who killed Satoru Gojo?,Sukuna,Kenjaku,Toji Fushiguro,Mahito,0,Jujutsu Kaisen
What is Nobara Kugisaki's weapon of choice?,Katana,Hammer and Nails,Cursed Tools,Staff,1,Jujutsu Kaisen
Which curse user is known as the "Disaster Flame"?,Jogo,Hanami,Dagon,Mahito,0,Jujutsu Kaisen
What is the name of the principal of Tokyo Jujutsu High?,Masamichi Yaga,Kiyotaka Ijichi,Yoshinobu Gakuganji,Noritoshi Kamo,0,Jujutsu Kaisen
Which technique does Yuta Okkotsu use?,Cursed Speech,Rika's Copy Technique,Blood Manipulation,Boogie Woogie,1,Jujutsu Kaisen
What is Maki Zenin's Heavenly Restriction?,No cursed energy but immense physical strength,Infinite cursed energy,Can see curses,Can heal others,0,Jujutsu Kaisen
Who is the reincarnation of the "Disaster" curses' leader?,Sukuna,Kenjaku,Mahito,Geto Suguru,3,Jujutsu Kaisen
What is the name of the barrier technique that hides jujutsu society?,Curtain,Veil,Shield,Domain,0,Jujutsu Kaisen
Which Kyoto student uses a mechanical puppet?,Mai Zenin,Momoi Nishimiya,Mechamaru (Kokichi Muta),Kasumi Miwa,2,Jujutsu Kaisen
What is Nanami's day job before becoming a sorcerer?,Teacher,Salaryman,Doctor,Lawyer,1,Jujutsu Kaisen
Which character is known for the catchphrase "Are you the strongest because you're Satoru Gojo?"?,Sukuna,Geto,Kenjaku,Toji,0,Jujutsu Kaisen
What is the name of the parasitic technique used by Kenjaku?,Body Swap,Brain Transplant,Cursed Spirit Manipulation,Anti-Gravity System,1,Jujutsu Kaisen
Which disaster curse can use Idle Transfiguration?,Jogo,Hanami,Dagon,Mahito,3,Jujutsu Kaisen
What is the name of the Zenin family's Ten Shadows ultimate shikigami?,Nue,Great Serpent,Mahoraga,Toad,2,Jujutsu Kaisen
Who trained Yuji in jujutsu before enrolling in school?,Satoru Gojo,Kento Nanami,Megumi Fushiguro,Sukuna,0,Jujutsu Kaisen
What is the name of the movie prequel to Jujutsu Kaisen?,Jujutsu Kaisen 0,Jujutsu Kaisen: The Beginning,Jujutsu Kaisen: Origins,Cursed Childhood,0,Jujutsu Kaisen
Which character has the cursed technique "Boogie Woogie"?,Todo Aoi,Yuta Okkotsu,Panda,Inumaki Toge,0,Jujutsu Kaisen
What is Inumaki's cursed technique called?,Cursed Speech,Boogie Woogie,Copy,Shrine,0,Jujutsu Kaisen
Which Kyoto student is Todo's best friend?,Mai Zenin,Yuta Okkotsu,Yuji Itadori,Noritoshi Kamo,2,Jujutsu Kaisen
What is the name of Gojo's eye technique?,Sharingan,Six Eyes,Rinnegan,Byakugan,1,Jujutsu Kaisen
Which grade is the highest for a jujutsu sorcerer?,Grade 1,Special Grade,Grade 2,Grade 3,1,Jujutsu Kaisen
What is the name of the leader of the Time Vessel Association?,Suguru Geto (by Kenjaku),Ogami,Granny,Haruta Shigemo,1,Jujutsu Kaisen
Who is the first special grade sorcerer introduced?,Yuta Okkotsu,Satoru Gojo,Suguru Geto,Yuki Tsukumo,0,Jujutsu Kaisen
