In which country was the compass invented?,Greece,China,Egypt,Persia,1,History
What is the name of the fairy in Peter Pan?,Tinkerbell,Cinderella,Aurora,Belle,0,Literature
Which food is the main ingredient in guacamole?,Tomato,Avocado,Onion,Cilantro,1,Food
How many rings are on the Olympic flag?,3,4,5,6,2,Sports
Which country won the 2018 FIFA World Cup?,Brazil,Germany,France,Argentina,2,Sports
In which country was pizza invented?,France,Spain,Italy,United States,2,Food
What does URL stand for?,Uniform Resource Locator,Universal Resource Link,Unified Resource Locator,Uniform Reference Link,0,Technology
Which fruit has its seeds on the outside?,Banana,Apple,Strawberry,Orange,2,Science
What is the largest organ of the human body?,Liver,Heart,Brain,Skin,3,Science
Which element has the chemical symbol "O"?,Oxygen,Gold,Osmium,Iron,0,Science
Which actor played Jack in Titanic?,Brad Pitt,Leonardo DiCaprio,Tom Cruise,Johnny Depp,1,Movies
